costat,curcdq,datafmt,indfmt,consol,tic,datadate,gvkey,conm,fyr,atq,ceqq,cshoq,saleq
A,USD,STD,INDL,C,AAPL,2006-03-31,001690,APPLE INC,9,13911.0000,8682.0000,849.1880,4359.0000
A,USD,STD,INDL,C,AAPL,2006-06-30,001690,APPLE INC,9,15114.0000,9330.0000,852.9880,4370.0000
A,USD,STD,INDL,C,AAPL,2006-09-30,001690,APPLE INC,9,17205.0000,9984.0000,855.2630,4837.0000
A,USD,STD,INDL,C,AAPL,2006-12-31,001690,APPLE INC,9,19461.0000,11228.0000,860.2200,7115.0000
A,USD,STD,INDL,C,AAPL,2007-03-31,001690,APPLE INC,9,18711.0000,12261.0000,864.6930,5264.0000
A,USD,STD,INDL,C,AAPL,2007-06-30,001690,APPLE INC,9,21647.0000,13404.0000,869.1620,5410.0000
A,USD,STD,INDL,C,AAPL,2007-09-30,001690,APPLE INC,9,25347.0000,14532.0000,872.3290,6217.0000
A,USD,STD,INDL,C,AAPL,2007-12-31,001690,APPLE INC,9,30039.0000,16804.0000,878.6290,9608.0000
A,USD,STD,INDL,C,AAPL,2008-03-31,001690,APPLE INC,9,30471.0000,18053.0000,881.4310,7512.0000
A,USD,STD,INDL,C,AAPL,2008-06-30,001690,APPLE INC,9,31709.0000,19622.0000,885.7470,7464.0000
A,USD,STD,INDL,C,AAPL,2008-09-30,001690,APPLE INC,9,39572.0000,21030.0000,888.3260,7895.0000
A,USD,STD,INDL,C,AAPL,2008-12-31,001690,APPLE INC,9,42787.0000,22909.0000,890.4150,11880.0000
A,USD,STD,INDL,C,AAPL,2009-03-31,001690,APPLE INC,9,43237.0000,24311.0000,891.9120,9084.0000
A,USD,STD,INDL,C,AAPL,2009-06-30,001690,APPLE INC,9,48140.0000,25888.0000,895.7350,9734.0000
A,USD,STD,INDL,C,AAPL,2009-09-30,001690,APPLE INC,9,47501.0000,31640.0000,899.8060,12207.0000
A,USD,STD,INDL,C,AAPL,2009-12-31,001690,APPLE INC,9,53926.0000,35768.0000,906.2820,15683.0000
A,USD,STD,INDL,C,AAPL,2010-03-31,001690,APPLE INC,9,57057.0000,39348.0000,909.6360,13499.0000
A,USD,STD,INDL,C,AAPL,2010-06-30,001690,APPLE INC,9,64725.0000,43111.0000,913.4820,15700.0000
A,USD,STD,INDL,C,AAPL,2010-09-30,001690,APPLE INC,9,75183.0000,47791.0000,915.9700,20343.0000
A,USD,STD,INDL,C,AAPL,2010-12-31,001690,APPLE INC,9,86742.0000,54666.0000,921.0350,26741.0000
A,USD,STD,INDL,C,AAPL,2011-03-31,001690,APPLE INC,9,94904.0000,61477.0000,924.6740,24667.0000
A,USD,STD,INDL,C,AAPL,2011-06-30,001690,APPLE INC,9,106758.0000,69343.0000,926.9040,28571.0000
A,USD,STD,INDL,C,AAPL,2011-09-30,001690,APPLE INC,9,116371.0000,76615.0000,929.2770,28270.0000
A,USD,STD,INDL,C,AAPL,2011-12-31,001690,APPLE INC,9,138681.0000,90054.0000,932.2140,46333.0000
A,USD,STD,INDL,C,AAPL,2012-03-31,001690,APPLE INC,9,150934.0000,102498.0000,934.9820,39186.0000
A,USD,STD,INDL,C,AAPL,2012-06-30,001690,APPLE INC,9,162896.0000,111746.0000,937.2660,35023.0000
A,USD,STD,INDL,C,AAPL,2012-09-30,001690,APPLE INC,9,176064.0000,118210.0000,939.2080,35966.0000
A,USD,STD,INDL,C,AAPL,2012-12-31,001690,APPLE INC,9,196088.0000,127346.0000,938.9730,54512.0000
A,USD,STD,INDL,C,AAPL,2013-03-31,001690,APPLE INC,9,194743.0000,135490.0000,940.0940,43603.0000
A,USD,STD,INDL,C,AAPL,2013-06-30,001690,APPLE INC,9,199856.0000,123354.0000,908.4420,35323.0000
A,USD,STD,INDL,C,AAPL,2013-09-30,001690,APPLE INC,9,207000.0000,123549.0000,899.2130,37472.0000
A,USD,STD,INDL,C,AAPL,2013-12-31,001690,APPLE INC,9,225184.0000,129684.0000,892.4470,57594.0000
A,USD,STD,INDL,C,AAPL,2014-03-31,001690,APPLE INC,9,205989.0000,120179.0000,861.7450,45646.0000
A,USD,STD,INDL,C,AAPL,2014-06-30,001690,APPLE INC,9,222520.0000,120940.0000,5989.1710,37432.0000
A,USD,STD,INDL,C,AAPL,2014-09-30,001690,APPLE INC,9,231839.0000,111547.0000,5866.1610,42123.0000
A,USD,STD,INDL,C,AAPL,2014-12-31,001690,APPLE INC,9,261894.0000,123328.0000,5826.4190,74599.0000
A,USD,STD,INDL,C,AAPL,2015-03-31,001690,APPLE INC,9,261194.0000,129006.0000,5762.2780,58010.0000
A,USD,STD,INDL,C,AAPL,2015-06-30,001690,APPLE INC,9,273151.0000,125677.0000,5705.4000,49605.0000
A,USD,STD,INDL,C,AAPL,2015-09-30,001690,APPLE INC,9,290479.0000,119355.0000,5578.7530,51501.0000
A,USD,STD,INDL,C,AAPL,2015-12-31,001690,APPLE INC,9,293284.0000,128267.0000,5544.4870,75324.0000
A,USD,STD,INDL,C,AAPL,2016-03-31,001690,APPLE INC,9,305277.0000,130457.0000,5478.4460,50557.0000
A,USD,STD,INDL,C,AAPL,2016-06-30,001690,APPLE INC,9,305602.0000,126541.0000,5393.1650,42358.0000
A,USD,STD,INDL,C,AAPL,2016-09-30,001690,APPLE INC,9,321686.0000,128249.0000,5336.1660,46852.0000
A,USD,STD,INDL,C,AAPL,2016-12-31,001690,APPLE INC,9,331141.0000,132390.0000,5255.4230,78351.0000
A,USD,STD,INDL,C,AAPL,2017-03-31,001690,APPLE INC,9,334532.0000,134082.0000,5205.8150,52896.0000
A,USD,STD,INDL,C,AAPL,2017-06-30,001690,APPLE INC,9,345173.0000,132425.0000,5169.7820,45408.0000
A,USD,STD,INDL,C,AAPL,2017-09-30,001690,APPLE INC,9,375319.0000,134047.0000,5126.2010,52579.0000
A,USD,STD,INDL,C,AAPL,2017-12-31,001690,APPLE INC,9,406794.0000,140199.0000,5081.6510,88293.0000
A,USD,STD,INDL,C,AAPL,2018-03-31,001690,APPLE INC,9,367502.0000,126878.0000,4943.2820,61137.0000
A,USD,STD,INDL,C,AAPL,2018-06-30,001690,APPLE INC,9,349197.0000,114949.0000,4842.9170,53029.0000
A,USD,STD,INDL,C,AAPL,2018-09-30,001690,APPLE INC,9,365725.0000,107147.0000,4754.9860,62900.0000
A,USD,STD,INDL,C,AAPL,2018-12-31,001690,APPLE INC,9,373719.0000,117892.0000,4729.8030,84310.0000
