PERMNO,date,NCUSIP,TICKER,PERMCO,NWPERM,PRC,VOL,RET,SHROUT
90319,2006-01-03,38259P50,GOOG,45483,,435.23001,13211301,0.049101,199495
90319,2006-01-04,38259P50,GOOG,45483,,445.23999,15335599,0.022999,199495
90319,2006-01-05,38259P50,GOOG,45483,,451.23999,10830575,0.013476,199495
90319,2006-01-06,38259P50,GOOG,45483,,465.66000,17782421,0.031956,199495
90319,2006-01-09,38259P50,GOOG,45483,,466.90009,12810344,0.002663,199495
90319,2006-01-10,38259P50,GOOG,45483,,469.76001,9130402,0.006125,199495
90319,2006-01-11,38259P50,GOOG,45483,,471.63000,9028029,0.003981,199495
90319,2006-01-12,38259P50,GOOG,45483,,463.63000,10155126,-0.016962,199495
90319,2006-01-13,38259P50,GOOG,45483,,466.25000,7671040,0.005651,199495
90319,2006-01-17,38259P50,GOOG,45483,,467.10999,8335300,0.001844,199495
90319,2006-01-18,38259P50,GOOG,45483,,444.90991,20651956,-0.047526,199495
90319,2006-01-19,38259P50,GOOG,45483,,436.44501,14589759,-0.019026,199495
90319,2006-01-20,38259P50,GOOG,45483,,399.46011,41233261,-0.084741,199495
90319,2006-01-23,38259P50,GOOG,45483,,427.50000,22793822,0.070194,199495
90319,2006-01-24,38259P50,GOOG,45483,,443.03000,15529573,0.036327,199495
90319,2006-01-25,38259P50,GOOG,45483,,433.00000,18761526,-0.022640,199495
90319,2006-01-26,38259P50,GOOG,45483,,434.26501,12940686,0.002922,199495
90319,2006-01-27,38259P50,GOOG,45483,,433.48999,8482444,-0.001785,199495
90319,2006-01-30,38259P50,GOOG,45483,,426.82001,8629458,-0.015387,199495
90319,2006-01-31,38259P50,GOOG,45483,,432.66010,22676717,0.013683,199495
90319,2006-02-01,38259P50,GOOG,45483,,401.78000,27151610,-0.071373,199495
90319,2006-02-02,38259P50,GOOG,45483,,396.04001,11820736,-0.014286,199495
90319,2006-02-03,38259P50,GOOG,45483,,381.55499,18303089,-0.036575,199495
90319,2006-02-06,38259P50,GOOG,45483,,385.10001,8957638,0.009291,199495
90319,2006-02-07,38259P50,GOOG,45483,,367.92001,16678882,-0.044612,199495
90319,2006-02-08,38259P50,GOOG,45483,,369.07999,20840641,0.003153,199495
90319,2006-02-09,38259P50,GOOG,45483,,358.76999,11934401,-0.027934,199495
90319,2006-02-10,38259P50,GOOG,45483,,362.60999,15285653,0.010703,199495
90319,2006-02-13,38259P50,GOOG,45483,,345.70001,19741322,-0.046634,199495
90319,2006-02-14,38259P50,GOOG,45483,,343.32001,14703485,-0.006885,199495
90319,2006-02-15,38259P50,GOOG,45483,,342.38000,12980544,-0.002738,199495
90319,2006-02-16,38259P50,GOOG,45483,,366.45999,21366844,0.070331,199495
90319,2006-02-17,38259P50,GOOG,45483,,368.75000,14328017,0.006249,199495
90319,2006-02-21,38259P50,GOOG,45483,,366.59000,8705578,-0.005858,199495
90319,2006-02-22,38259P50,GOOG,45483,,365.48999,6490421,-0.003001,199495
90319,2006-02-23,38259P50,GOOG,45483,,378.07001,12562973,0.034420,199495
90319,2006-02-24,38259P50,GOOG,45483,,377.39999,6492115,-0.001772,199495
90319,2006-02-27,38259P50,GOOG,45483,,390.37500,10232089,0.034380,199495
90319,2006-02-28,38259P50,GOOG,45483,,362.62000,39492635,-0.071098,207096
90319,2006-03-01,38259P50,GOOG,45483,,364.79999,12080136,0.006012,207096
90319,2006-03-02,38259P50,GOOG,45483,,376.45001,18361996,0.031935,207096
90319,2006-03-03,38259P50,GOOG,45483,,378.17999,11977406,0.004596,207096
90319,2006-03-06,38259P50,GOOG,45483,,368.10001,8958514,-0.026654,207096
90319,2006-03-07,38259P50,GOOG,45483,,364.45001,10494872,-0.009916,207096
90319,2006-03-08,38259P50,GOOG,45483,,353.88000,11848307,-0.029003,207096
90319,2006-03-09,38259P50,GOOG,45483,,343.00000,13949947,-0.030745,207096
90319,2006-03-10,38259P50,GOOG,45483,,337.50000,19358521,-0.016035,207096
90319,2006-03-13,38259P50,GOOG,45483,,337.06000,13659926,-0.001304,207096
90319,2006-03-14,38259P50,GOOG,45483,,351.16000,18478633,0.041832,207096
90319,2006-03-15,38259P50,GOOG,45483,,344.50000,12786379,-0.018966,207096
90319,2006-03-16,38259P50,GOOG,45483,,338.76999,10030157,-0.016633,207096
90319,2006-03-17,38259P50,GOOG,45483,,339.79001,8571163,0.003011,208303
90319,2006-03-20,38259P50,GOOG,45483,,348.19000,10444548,0.024721,208303
90319,2006-03-21,38259P50,GOOG,45483,,339.92001,9868689,-0.023751,208303
90319,2006-03-22,38259P50,GOOG,45483,,340.22000,7611654,0.000883,208303
90319,2006-03-23,38259P50,GOOG,45483,,341.89001,7994456,0.004909,208303
90319,2006-03-24,38259P50,GOOG,45483,,365.79999,15194531,0.069935,208303
90319,2006-03-27,38259P50,GOOG,45483,,369.69000,7041703,0.010634,208303
90319,2006-03-28,38259P50,GOOG,45483,,377.20001,8984516,0.020314,208303
90319,2006-03-29,38259P50,GOOG,45483,,394.98001,19408996,0.047137,208303
90319,2006-03-30,38259P50,GOOG,45483,,388.44000,14742748,-0.016558,208303
90319,2006-03-31,38259P50,GOOG,45483,,390.00000,36663440,0.004016,212396
90319,2006-04-03,38259P50,GOOG,45483,,389.70001,8139675,-0.000769,212396
90319,2006-04-04,38259P50,GOOG,45483,,404.34000,15753469,0.037567,212396
90319,2006-04-05,38259P50,GOOG,45483,,407.98999,13474042,0.009027,212396
90319,2006-04-06,38259P50,GOOG,45483,,411.17999,8610858,0.007819,212396
90319,2006-04-07,38259P50,GOOG,45483,,406.16000,7033736,-0.012209,212396
90319,2006-04-10,38259P50,GOOG,45483,,416.38000,9336682,0.025162,212396
90319,2006-04-11,38259P50,GOOG,45483,,409.66000,11124868,-0.016139,212396
90319,2006-04-12,38259P50,GOOG,45483,,408.95001,6039708,-0.001733,212396
90319,2006-04-13,38259P50,GOOG,45483,,402.16000,6595716,-0.016604,212396
90319,2006-04-17,38259P50,GOOG,45483,,406.82001,8275997,0.011587,212396
