date,user_id,channel,sessions,conversion_rate,avg_order_value
2024-01-01,1038,organic,9,0.151,52.21
2024-01-02,1028,organic,3,0.288,43.89
2024-01-03,1014,organic,5,0.301,42.09
2024-01-04,1042,ads,8,0.131,51.02
2024-01-05,1007,ads,7,0.312,42.44
2024-01-06,1020,ads,3,0.086,52.59
2024-01-07,1038,organic,7,0.191,52.84
2024-01-08,1018,ads,4,0.091,34.32
2024-01-09,1022,organic,4,0.197,53.87
2024-01-10,1010,referral,4,0.196,33.3
2024-01-11,1010,referral,5,0.189,54.37
2024-01-12,1023,ads,3,0.245,61.23
2024-01-13,1035,organic,3,0.112,52.0
2024-01-14,1039,organic,2,0.081,27.74
2024-01-15,1023,organic,7,0.144,53.51
2024-01-16,1002,ads,2,0.169,62.97
2024-01-17,1021,organic,7,0.247,42.58
2024-01-18,1001,organic,3,0.237,44.72
2024-01-19,1023,organic,4,0.182,35.49
2024-01-20,1043,referral,3,0.023,47.5
2024-01-21,1029,organic,5,0.135,55.15
2024-01-22,1037,ads,4,0.543,50.58
2024-01-23,1001,ads,4,0.401,70.14
2024-01-24,1020,organic,2,0.005,45.26
2024-01-25,1032,ads,2,0.115,31.95
2024-01-26,1011,ads,2,0.211,46.37
2024-01-27,1021,organic,5,0.122,25.67
2024-01-28,1043,referral,3,0.132,40.74
2024-01-29,1024,ads,12,0.124,58.0
2024-01-30,1048,ads,7,0.223,47.6
2024-01-31,1026,referral,3,0.192,46.44
2024-02-01,1041,ads,6,0.228,59.57
2024-02-02,1027,organic,3,0.09,42.84
2024-02-03,1015,organic,7,0.219,55.09
2024-02-04,1014,organic,7,0.253,46.03
2024-02-05,1046,organic,4,0.129,48.04
2024-02-06,1043,organic,6,0.115,35.26
2024-02-07,1002,referral,2,0.119,41.14
2024-02-08,1036,organic,5,0.241,33.82
2024-02-09,1006,organic,11,0.416,44.24
2024-02-10,1020,organic,4,0.102,48.12
2024-02-11,1008,referral,7,0.227,36.12
2024-02-12,1038,organic,6,0.312,61.39
2024-02-13,1017,ads,8,0.126,47.22
2024-02-14,1003,organic,3,0.137,45.46
2024-02-15,1024,organic,6,0.155,51.16
2024-02-16,1013,organic,5,0.228,38.37
2024-02-17,1049,organic,8,0.303,46.31
2024-02-18,1008,ads,3,0.174,39.27
2024-02-19,1025,organic,4,0.063,57.47
2024-02-20,1001,ads,2,0.093,36.53
2024-02-21,1019,organic,4,0.236,45.51
2024-02-22,1027,organic,5,0.146,47.63
2024-02-23,1046,organic,7,0.194,48.16
2024-02-24,1006,organic,5,0.101,40.35
2024-02-25,1043,ads,1,0.122,37.84
2024-02-26,1007,organic,7,0.101,40.47
2024-02-27,1046,organic,3,0.181,49.23
2024-02-28,1034,organic,4,0.158,43.85
2024-02-29,1013,organic,1,0.061,51.37
2024-03-01,1016,ads,6,0.109,48.82
2024-03-02,1035,ads,12,0.051,26.78
2024-03-03,1049,organic,5,0.247,46.98
2024-03-04,1039,referral,6,0.337,63.0
2024-03-05,1003,organic,3,0.122,55.6
2024-03-06,1001,referral,7,0.289,48.38
2024-03-07,1005,organic,8,0.455,36.52
2024-03-08,1041,organic,2,0.067,48.82
2024-03-09,1003,organic,5,0.258,50.92
2024-03-10,1028,ads,4,0.073,42.97
2024-03-11,1017,ads,1,0.188,47.53
2024-03-12,1025,ads,6,0.06,57.08
2024-03-13,1043,organic,4,0.187,38.14
2024-03-14,1033,ads,4,0.254,36.53
2024-03-15,1009,ads,5,0.179,50.54
2024-03-16,1035,organic,4,0.257,48.66
2024-03-17,1013,organic,7,0.111,53.23
2024-03-18,1030,organic,6,0.067,49.56
2024-03-19,1047,referral,3,0.231,40.46
2024-03-20,1014,organic,4,0.045,48.46
2024-03-21,1007,referral,3,0.194,35.86
2024-03-22,1013,organic,4,0.221,43.0
2024-03-23,1022,referral,1,0.113,49.02
2024-03-24,1039,ads,10,0.181,42.12
2024-03-25,1020,organic,5,0.188,64.74
2024-03-26,1015,ads,7,0.056,29.86
2024-03-27,1044,ads,3,0.092,40.62
2024-03-28,1017,referral,0,0.264,37.5
2024-03-29,1046,organic,4,0.291,39.4
2024-03-30,1023,organic,9,0.071,39.86
2024-03-31,1025,ads,9,0.08,34.39
2024-04-01,1024,referral,9,0.12,51.02
2024-04-02,1044,organic,3,0.355,40.62
2024-04-03,1040,organic,5,0.11,46.31
2024-04-04,1028,referral,9,0.243,41.52
2024-04-05,1014,organic,5,0.052,39.47
2024-04-06,1044,ads,7,0.142,58.38
2024-04-07,1000,referral,8,0.339,52.38
2024-04-08,1024,ads,4,0.087,30.05
2024-04-09,1006,ads,6,0.029,29.21
2024-04-10,1008,organic,4,0.053,53.34
2024-04-11,1023,ads,4,0.291,40.84
2024-04-12,1000,ads,4,0.071,31.81
2024-04-13,1043,organic,5,0.08,53.37
2024-04-14,1007,organic,6,0.11,46.35
2024-04-15,1023,referral,4,0.027,47.01
2024-04-16,1010,ads,2,0.174,51.48
2024-04-17,1016,organic,4,0.134,34.52
2024-04-18,1007,referral,7,0.108,31.95
2024-04-19,1034,referral,6,0.29,57.65
2024-04-20,1034,ads,7,0.031,33.5
2024-04-21,1032,referral,4,0.06,35.22
2024-04-22,1004,organic,10,0.148,36.82
2024-04-23,1041,organic,6,0.074,61.64
2024-04-24,1038,ads,9,0.316,48.95
2024-04-25,1040,referral,4,0.158,52.72
2024-04-26,1027,referral,8,0.204,46.57
2024-04-27,1006,organic,8,0.018,40.18
2024-04-28,1008,referral,7,0.257,50.05
2024-04-29,1007,referral,4,0.142,32.55
