variable,dataset,count,unique,top,freq,mean,std,min,25%,50%,75%,max,dtype,missing
PERMNO,AAPL,4781.0,,,,14593.0,0.0,14593.0,14593.0,14593.0,14593.0,14593.0,int64,0
date,AAPL,4781,4781,2006-01-03,1,,,,,,,,object,0
NCUSIP,AAPL,4781.0,,,,3783310.0,0.0,3783310.0,3783310.0,3783310.0,3783310.0,3783310.0,int64,0
TICKER,AAPL,4781,1,AAPL,4781,,,,,,,,object,0
PERMCO,AAPL,4781.0,,,,7.0,0.0,7.0,7.0,7.0,7.0,7.0,int64,0
NWPERM,AAPL,1.0,,,,0.0,,0.0,0.0,0.0,0.0,0.0,float64,4780
PRC,AAPL,4781.0,,,,219.09443874503242,141.98997063706878,50.67,124.24,170.33,254.22,702.09998,float64,0
VOL,AAPL,4781.0,,,,41272474.61346999,30720992.17233272,5704942.0,20629636.0,32189246.0,52425169.0,331572938.0,int64,0
RET,AAPL,4781.0,,,,0.001194135327337377,0.019995026698850633,-0.179195,-0.008204,0.001001,0.011478,0.13905,float64,0
SHROUT,AAPL,4781.0,,,,5738470.80464338,5892587.322169605,845617.0,906795.0,4519180.0,5864840.0,17102536.0,int64,0
PERMNO,GOOGL,4781.0,,,,90319.0,0.0,90319.0,90319.0,90319.0,90319.0,90319.0,int64,0
date,GOOGL,4781,4781,2006-01-03,1,,,,,,,,object,0
NCUSIP,GOOGL,4781,2,38259P50,2455,,,,,,,,object,0
TICKER,GOOGL,4781,2,GOOGL,2705,,,,,,,,object,0
PERMCO,GOOGL,4781.0,,,,45483.0,0.0,45483.0,45483.0,45483.0,45483.0,45483.0,int64,0
NWPERM,GOOGL,1.0,,,,0.0,,0.0,0.0,0.0,0.0,0.0,float64,4780
PRC,GOOGL,4781.0,,,,814.746042693997,616.9532003078217,83.43,469.94,610.94,1051.96997,2996.77002,float64,0
VOL,GOOGL,4781.0,,,,6614507.769085965,10369459.653931005,463061.0,1654907.0,2505150.0,5272551.0,119120753.0,int64,0
RET,GOOGL,4781.0,,,,0.0007840845011503869,0.01881199278612786,-0.116342,-0.007906,0.00075,0.009649,0.199915,float64,0
SHROUT,GOOGL,4781.0,,,,1002126.282786028,1896133.0526011381,199495.0,246464.0,289834.0,300047.0,6015280.0,int64,0
date,FF_Factors,4946,4946,2006-01-03,1,,,,,,,,object,0
mktrf,FF_Factors,4946.0,,,,0.00042806308127780026,0.012501213569759856,-0.1201,-0.0043,0.0007,0.0061,0.1136,float64,0
rf,FF_Factors,4946.0,,,,6.423372422159322e-05,8.328802439755972e-05,0.0,0.0,0.0,0.0001,0.0002,float64,0
costat,Compustat,156,1,A,156,,,,,,,,object,0
curcdq,Compustat,156,1,USD,156,,,,,,,,object,0
datafmt,Compustat,156,1,STD,156,,,,,,,,object,0
indfmt,Compustat,156,1,INDL,156,,,,,,,,object,0
consol,Compustat,156,1,C,156,,,,,,,,object,0
tic,Compustat,156,2,AAPL,78,,,,,,,,object,0
datadate,Compustat,156,78,2006-03-31,2,,,,,,,,object,0
gvkey,Compustat,156.0,,,,81009.5,79574.95798825318,1690.0,1690.0,81009.5,160329.0,160329.0,int64,0
conm,Compustat,156,2,APPLE INC,78,,,,,,,,object,0
fyr,Compustat,156.0,,,,10.5,1.504830930381303,9.0,9.0,10.5,12.0,12.0,int64,0
atq,Compustat,156.0,,,,205311.37799358973,137097.3204933001,11294.87,64827.0,202922.5,335617.5,502053.0,float64,0
ceqq,Compustat,156.0,,,,106850.9658525641,79839.8759275374,8682.0,48586.0,89792.5,134055.75,359716.0,float64,0
cshoq,Compustat,156.0,,,,4213.620173076923,5583.141695368738,295.063,674.19,889.3705,5494.95625,16976.763,float64,0
saleq,Compustat,156.0,,,,42155.91676923077,32889.68156843234,2253.755,11861.75,36885.5,68281.25,124300.0,float64,0
rp_entity_id,Launch_Events_apple07,20,1,D8442A,20,,,,,,,,object,0
rpa_date_utc,Launch_Events_apple07,20.0,,,,39091.1,0.3077935056255462,39091.0,39091.0,39091.0,39091.0,39092.0,int64,0
timestamp_utc,Launch_Events_apple07,20,,,,2007-01-09 21:08:03.538399744,,2007-01-09 17:41:45.227000,2007-01-09 18:05:11.362000128,2007-01-09 19:11:13.034500096,2007-01-09 20:58:42.582249984,2007-01-10 12:45:03,datetime64[ns],0
entity_name,Launch_Events_apple07,20,1,Apple Inc.,20,,,,,,,,object,0
relevance,Launch_Events_apple07,20.0,,,,100.0,0.0,100.0,100.0,100.0,100.0,100.0,int64,0
event_sentiment_score,Launch_Events_apple07,20.0,,,,0.5199999999999999,1.1390647892519134e-16,0.52,0.52,0.52,0.52,0.52,float64,0
event_relevance,Launch_Events_apple07,20.0,,,,100.0,0.0,100.0,100.0,100.0,100.0,100.0,int64,0
topic,Launch_Events_apple07,20,1,business,20,,,,,,,,object,0
type,Launch_Events_apple07,20,1,product-release,20,,,,,,,,object,0
category,Launch_Events_apple07,20,1,product-release,20,,,,,,,,object,0
news_type,Launch_Events_apple07,20,2,FULL-ARTICLE,13,,,,,,,,object,0
headline,Launch_Events_apple07,20,20,Jobs Says Apple TV To Ship In February At $299 >AAPL,1,,,,,,,,object,0
rp_entity_id,Launch_Events_apple08,68,1,D8442A,68,,,,,,,,object,0
rpa_date_utc,Launch_Events_apple08,68.0,,,,39608.08823529412,0.2857456398198083,39608.0,39608.0,39608.0,39608.0,39609.0,int64,0
timestamp_utc,Launch_Events_apple08,68,,,,2008-06-09 20:36:55.945220608,,2008-06-09 17:09:55.712000,2008-06-09 19:25:37.568250112,2008-06-09 19:32:02.141500160,2008-06-09 19:36:45.552999936,2008-06-10 07:47:34.532000,datetime64[ns],0
entity_name,Launch_Events_apple08,68,1,Apple Inc.,68,,,,,,,,object,0
relevance,Launch_Events_apple08,68.0,,,,100.0,0.0,100.0,100.0,100.0,100.0,100.0,int64,0
